gene,f_statistic,p_value,eta_squared,mean_glycolytic,mean_mixed,mean_oxidative,highest_in,lowest_in,known_marker,pathway
NDUFA1,198.207,4.39497965497718e-70,0.3413,-0.601,-0.189,0.791,Oxidative,Glycolytic,True,OXPHOS
NDUFB1,194.807,4.154541299199589e-69,0.3374,-0.639,-0.127,0.766,Oxidative,Glycolytic,True,OXPHOS
COX6A1,193.245,1.1708884805962798e-68,0.3356,-0.654,-0.1,0.754,Oxidative,Glycolytic,True,OXPHOS
NDUFA2,184.519,4.031459849209594e-66,0.3254,-0.663,-0.065,0.729,Oxidative,Glycolytic,True,OXPHOS
NDUFA3,155.0,3.068310850610428e-57,0.2884,-0.594,-0.112,0.706,Oxidative,Glycolytic,False,Other
NDUFA7,153.463,9.170687308033395e-57,0.2863,-0.627,-0.053,0.68,Oxidative,Glycolytic,False,Other
NDUFA4,143.352,1.3370996903734386e-53,0.2726,-0.566,-0.128,0.693,Oxidative,Glycolytic,True,OXPHOS
COX6B1,143.182,1.5133041812928716e-53,0.2724,-0.511,-0.205,0.716,Oxidative,Glycolytic,True,OXPHOS
COX7A2,140.966,7.614579027158541e-53,0.2693,-0.577,-0.104,0.681,Oxidative,Glycolytic,False,Other
NDUFB2,134.562,8.443126033482946e-51,0.2602,-0.568,-0.101,0.669,Oxidative,Glycolytic,True,OXPHOS
NDUFB6,126.128,4.5547086638563506e-48,0.248,-0.556,-0.095,0.652,Oxidative,Glycolytic,False,Other
NDUFB4,119.599,6.378694044534447e-46,0.2382,-0.561,-0.067,0.628,Oxidative,Glycolytic,False,Other
NDUFA5,118.987,1.0169146436713737e-45,0.2373,-0.616,0.042,0.574,Oxidative,Glycolytic,True,OXPHOS
NDUFB3,113.204,8.58728981635956e-44,0.2284,-0.523,-0.108,0.631,Oxidative,Glycolytic,True,OXPHOS
COX5B,100.655,1.5615454284182515e-39,0.2083,-0.486,-0.125,0.61,Oxidative,Glycolytic,True,OXPHOS
COX5A,83.176,2.0635206103180034e-33,0.1786,-0.437,-0.135,0.571,Oxidative,Glycolytic,True,OXPHOS
NDUFA6,78.322,1.1354169501361387e-31,0.17,-0.422,-0.137,0.559,Oxidative,Glycolytic,False,Other
NDUFB5,74.453,2.8553252028399577e-30,0.1629,-0.493,-0.002,0.495,Oxidative,Glycolytic,False,Other
UQCRB,66.383,2.6043663761145583e-27,0.1479,-0.425,-0.081,0.506,Oxidative,Glycolytic,False,Other
NDUFB7,53.79,1.3879075870824764e-22,0.1233,-0.377,-0.092,0.468,Oxidative,Glycolytic,False,Other
COX4I1,48.48,1.5026364859241924e-20,0.1125,-0.311,-0.154,0.465,Oxidative,Glycolytic,False,Other
PDK1,45.119,3.000544262959331e-19,0.1055,0.454,-0.165,-0.288,Glycolytic,Oxidative,True,Glycolysis
PDHB,39.98,3.0597351224710207e-17,0.0946,-0.344,-0.058,0.402,Oxidative,Glycolytic,False,Other
PFKP,39.467,4.870696352820382e-17,0.0935,0.414,-0.101,-0.313,Glycolytic,Oxidative,False,Other
FH,38.435,1.2429003200956728e-16,0.0913,-0.318,-0.088,0.406,Oxidative,Glycolytic,True,OXPHOS
HK3,35.192,2.393424973957543e-15,0.0843,0.357,-0.004,-0.353,Glycolytic,Oxidative,False,Other
CYC1,33.744,9.033775828050391e-15,0.0811,-0.29,-0.097,0.387,Oxidative,Glycolytic,True,OXPHOS
UQCRC1,31.881,5.025606833760334e-14,0.0769,-0.274,-0.106,0.38,Oxidative,Glycolytic,True,OXPHOS
SDHB,30.693,1.5070154424735195e-13,0.0743,-0.3,-0.059,0.359,Oxidative,Glycolytic,True,OXPHOS
MDH2,27.303,3.5193974902730966e-12,0.0666,-0.248,-0.107,0.356,Oxidative,Glycolytic,True,OXPHOS
SLC16A1,26.6,6.7889136201709184e-12,0.065,0.316,-0.009,-0.308,Glycolytic,Oxidative,True,Glycolysis
PGK1,25.073,2.8383617426871166e-11,0.0615,0.337,-0.084,-0.253,Glycolytic,Oxidative,True,Glycolysis
ENO1,21.852,5.900243145409449e-10,0.054,0.326,-0.13,-0.197,Glycolytic,Oxidative,True,Glycolysis
SDHC,21.764,6.414410473164069e-10,0.0538,-0.261,-0.042,0.303,Oxidative,Glycolytic,True,OXPHOS
PFKM,21.164,1.1318468241169713e-09,0.0524,0.198,0.123,-0.321,Glycolytic,Oxidative,True,Glycolysis
COX7A1,20.273,2.6362206271697655e-09,0.0503,-0.248,-0.048,0.295,Oxidative,Glycolytic,False,Other
TALDO1,18.662,1.221135157814011e-08,0.0465,-0.186,-0.116,0.302,Oxidative,Glycolytic,False,Other
LDHB,16.986,6.058644141775405e-08,0.0425,0.27,-0.039,-0.231,Glycolytic,Oxidative,True,Glycolysis
ALDOC,16.556,9.139450154247474e-08,0.0415,0.274,-0.06,-0.214,Glycolytic,Oxidative,False,Other
SLC16A3,16.246,1.2302289328460742e-07,0.0407,0.279,-0.09,-0.19,Glycolytic,Oxidative,True,Glycolysis
LDHA,12.339,5.3185121923541895e-06,0.0313,0.245,-0.082,-0.164,Glycolytic,Oxidative,True,Glycolysis
HK1,11.366,1.3667675897262529e-05,0.0289,0.214,-0.012,-0.202,Glycolytic,Oxidative,True,Glycolysis
HK2,9.478,8.586251118370993e-05,0.0242,0.154,0.059,-0.213,Glycolytic,Oxidative,True,Glycolysis
PDK3,8.724,0.00017939595005233295,0.0223,0.211,-0.11,-0.101,Glycolytic,Mixed,True,Glycolysis
PKLR,8.384,0.00025024420892751634,0.0214,-0.07,-0.134,0.204,Oxidative,Mixed,True,Glycolysis
PDHA1,8.051,0.0003467163586721358,0.0206,0.016,-0.183,0.167,Oxidative,Mixed,False,Other
IDH2,7.793,0.0004460771336245108,0.02,-0.034,-0.153,0.188,Oxidative,Mixed,True,OXPHOS
ALDOB,7.325,0.0007061649472676594,0.0188,0.191,-0.067,-0.124,Glycolytic,Oxidative,False,Other
UQCRC2,7.086,0.0008928609784234574,0.0182,-0.189,0.072,0.117,Oxidative,Glycolytic,True,OXPHOS
ENO2,6.204,0.0021247437889931023,0.016,0.164,-0.021,-0.143,Glycolytic,Oxidative,True,Glycolysis
ALDOA,6.071,0.0024206272043170544,0.0156,-0.095,-0.082,0.176,Oxidative,Glycolytic,True,Glycolysis
IDH3A,5.665,0.0036119788178780015,0.0146,-0.131,-0.029,0.16,Oxidative,Glycolytic,False,Other
PDK4,5.494,0.004274137187537967,0.0142,0.025,0.132,-0.156,Mixed,Oxidative,False,Other
ENO3,5.046,0.00665034579112596,0.013,-0.089,-0.072,0.161,Oxidative,Glycolytic,False,Other
ACO2,4.698,0.009379693769143958,0.0121,-0.125,-0.017,0.143,Oxidative,Glycolytic,False,Other
TKT,4.449,0.011996834478389319,0.0115,0.151,-0.089,-0.061,Glycolytic,Mixed,False,Other
SUCLA2,4.424,0.012299640578268215,0.0114,0.042,0.105,-0.147,Mixed,Oxidative,False,Other
GAPDH,4.073,0.017405373859395692,0.0105,0.069,-0.145,0.076,Oxidative,Mixed,True,Glycolysis
TPI1,3.996,0.018766850542490943,0.0103,0.052,-0.142,0.09,Oxidative,Mixed,True,Glycolysis
GPI,3.939,0.019873240975878934,0.0102,0.082,-0.142,0.061,Glycolytic,Mixed,False,Other
PGAM1,3.702,0.02511174300394816,0.0096,0.123,-0.117,-0.006,Glycolytic,Mixed,True,Glycolysis
PDK2,3.616,0.027361591317444398,0.0094,-0.133,0.093,0.04,Mixed,Glycolytic,False,Other
PFKL,3.498,0.03075209058056933,0.0091,0.133,-0.086,-0.046,Glycolytic,Mixed,True,Glycolysis
CS,3.038,0.04850453610599068,0.0079,0.088,0.033,-0.121,Glycolytic,Oxidative,True,OXPHOS
SDHA,3.002,0.05028035558944713,0.0078,-0.081,-0.041,0.123,Oxidative,Glycolytic,True,OXPHOS
SDHD,2.464,0.08573605559673851,0.0064,-0.089,-0.015,0.105,Oxidative,Glycolytic,True,OXPHOS
OGDH,2.357,0.09537276651636786,0.0061,0.103,-0.016,-0.087,Glycolytic,Oxidative,False,Other
PGD,2.116,0.12127426495391593,0.0055,0.104,-0.038,-0.065,Glycolytic,Oxidative,False,Other
G6PD,1.831,0.1609952644709805,0.0048,0.046,-0.097,0.052,Oxidative,Mixed,True,Glycolysis
PGAM2,1.302,0.27270954365610606,0.0034,-0.009,-0.066,0.075,Oxidative,Mixed,False,Other
LDHC,0.694,0.4997669229286118,0.0018,0.031,-0.06,0.03,Glycolytic,Mixed,False,Other
PGK2,0.375,0.6877475253612741,0.001,-0.028,-0.016,0.044,Oxidative,Glycolytic,False,Other
