feature,f_stat,p_value
RNA_NDUFA1,198.20697496617947,4.394979654976555e-70
RNA_NDUFB1,194.80662657505042,4.1545412992001795e-69
RNA_COX6A1,193.24488946889466,1.1708884805962798e-68
RNA_NDUFA2,184.51892074308333,4.031459849209594e-66
RNA_NDUFA3,154.9995535249837,3.068310850610428e-57
RNA_NDUFA7,153.46319078824587,9.170687308033395e-57
RNA_NDUFA4,143.3521949307647,1.3370996903734386e-53
RNA_COX6B1,143.18203524846862,1.5133041812928716e-53
RNA_COX7A2,140.96611525864054,7.614579027158541e-53
RNA_NDUFB2,134.5619051560852,8.443126033482946e-51
RNA_NDUFB6,126.12788933203215,4.5547086638563506e-48
RNA_NDUFB4,119.59859196649509,6.378694044534447e-46
RNA_NDUFA5,118.98673965512587,1.0169146436713737e-45
RNA_NDUFB3,113.20427614286768,8.587289816360413e-44
RNA_COX5B,100.65468892817313,1.56154542841834e-39
RNA_COX5A,83.17555688801718,2.0635206103181204e-33
RNA_NDUFA6,78.32177675202553,1.1354169501361387e-31
RNA_NDUFB5,74.45302389488677,2.8553252028399577e-30
RNA_UQCRB,66.38270413941031,2.6043663761146692e-27
RNA_NDUFB7,53.79033761992782,1.3879075870824764e-22
RNA_COX4I1,48.479544658811754,1.502636485924267e-20
RNA_PDK1,45.11906570935009,3.000544262959331e-19
RNA_PDHB,39.979968677877274,3.059735122471173e-17
RNA_PFKP,39.466778512588064,4.870696352820382e-17
RNA_FH,38.43458758453453,1.2429003200956728e-16
RNA_HK3,35.19206436051404,2.393424973957543e-15
RNA_CYC1,33.74412906803974,9.033775828050391e-15
RNA_UQCRC1,31.88075189771809,5.025606833760334e-14
RNA_SDHB,30.69275736450589,1.5070154424735195e-13
RNA_MDH2,27.30316965470284,3.5193974902730966e-12
RNA_SLC16A1,26.599875420658886,6.7889136201709184e-12
RNA_PGK1,25.07273017799522,2.8383617426871166e-11
RNA_ENO1,21.85226872014345,5.900243145409449e-10
RNA_SDHC,21.76395140904729,6.414410473164069e-10
RNA_PFKM,21.164195666110516,1.1318468241169713e-09
RNA_COX7A1,20.272903136532417,2.6362206271697655e-09
RNA_TALDO1,18.661862410239866,1.2211351578140674e-08
RNA_LDHB,16.98552362615685,6.058644141775405e-08
RNA_ALDOC,16.556383917102778,9.139450154247474e-08
RNA_SLC16A3,16.24645562990676,1.2302289328460742e-07
RNA_LDHA,12.33916371792636,5.3185121923541895e-06
RNA_HK1,11.366077191291494,1.3667675897262529e-05
RNA_HK2,9.47829394972586,8.586251118370993e-05
RNA_PDK3,8.723913750405357,0.00017939595005233295
RNA_PKLR,8.383628592466005,0.00025024420892751634
RNA_PDHA1,8.050554030416158,0.0003467163586721358
RNA_IDH2,7.7933503381612015,0.0004460771336245108
RNA_ALDOB,7.324915416378168,0.0007061649472676594
RNA_UQCRC2,7.085914398056466,0.0008928609784234574
RNA_ENO2,6.203877820088167,0.0021247437889931023
RNA_ALDOA,6.071410343358379,0.0024206272043170544
RNA_IDH3A,5.665041069942934,0.0036119788178780015
RNA_PDK4,5.494259156947976,0.004274137187537967
RNA_ENO3,5.046081441672801,0.00665034579112596
RNA_ACO2,4.697823179617851,0.009379693769143958
RNA_TKT,4.448785075400274,0.011996834478389319
RNA_SUCLA2,4.423568754155196,0.012299640578268215
RNA_GAPDH,4.072503723140431,0.017405373859395692
RNA_TPI1,3.996396309506465,0.018766850542490943
RNA_GPI,3.93852004657171,0.019873240975880918
RNA_PGAM1,3.70222183780609,0.02511174300394816
RNA_PDK2,3.6155963822281167,0.027361591317444398
RNA_PFKL,3.4976924382009633,0.03075209058056933
RNA_CS,3.0380998731729294,0.04850453610599068
RNA_SDHA,3.0018588439352123,0.05028035558944713
RNA_SDHD,2.4643867139526456,0.08573605559673851
RNA_OGDH,2.3571957355637143,0.09537276651636786
RNA_PGD,2.1155294446258464,0.12127426495391593
RNA_G6PD,1.8307476224849812,0.1609952644709805
RNA_PGAM2,1.3015574288491547,0.27270954365610606
RNA_LDHC,0.6942427120716231,0.4997669229286118
RNA_PGK2,0.3745167077744099,0.6877475253612741
