mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5339555740356445,0.11458911596691458,0.03902301788330078,0.01488249369085544,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5137363935379526,0.5733809248183163,0.5774242206314609,0.5093795093795094,0.5020072911075326,0.5351856678949544,0.03307508688644854,15
0.2854167461395264,0.05468617476630182,0.010766935348510743,0.0009681239090759469,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7971971971971971,0.8469045969045969,0.7789776100962941,0.7782592993860601,0.8614216701173224,0.8125520747402941,0.03494951934820864,1
0.8794253826141357,0.24875206203368458,0.0632516860961914,0.03507336007997383,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.5137363935379526,0.5733809248183163,0.5774242206314609,0.5093795093795094,0.5020072911075326,0.5351856678949544,0.03307508688644854,15
0.5531911373138427,0.19770681997925363,0.043055391311645506,0.038996993493906694,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.7971971971971971,0.8469045969045969,0.7789776100962941,0.7782592993860601,0.8614216701173224,0.8125520747402941,0.03494951934820864,1
0.6647500991821289,0.34490706674486354,0.06581816673278809,0.03963097702679651,1.0,scale,rbf,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7527951446803473,0.7722222222222223,0.7387995499966911,0.6792718778945673,0.732939948391822,0.73520574863713,0.031068483468139566,13
0.2653522968292236,0.04325753443323817,0.01009979248046875,0.0012086374395548606,1.0,scale,linear,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'linear'}",0.7971971971971971,0.8469045969045969,0.7789776100962941,0.7782592993860601,0.8614216701173224,0.8125520747402941,0.03494951934820864,1
0.43900332450866697,0.14111531441779862,0.05111246109008789,0.040844589029861336,1.0,auto,rbf,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.7527951446803473,0.7722222222222223,0.7387995499966911,0.6792718778945673,0.732939948391822,0.73520574863713,0.031068483468139566,13
0.3058291435241699,0.053686412824343624,0.012214899063110352,0.0020509081421012185,1.0,auto,linear,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'linear'}",0.7971971971971971,0.8469045969045969,0.7789776100962941,0.7782592993860601,0.8614216701173224,0.8125520747402941,0.03494951934820864,1
0.5890631675720215,0.0379851648457905,0.029207658767700196,0.0033960995203207414,10.0,scale,rbf,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7267454709119624,0.8261987794245859,0.7937349113819702,0.7276334776334776,0.8227699530516434,0.7794165184807279,0.0441108584699218,12
0.3513330936431885,0.1883991603590821,0.02346315383911133,0.025169916823425918,10.0,scale,linear,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'linear'}",0.7971971971971971,0.8469045969045969,0.7789776100962941,0.7782592993860601,0.8614216701173224,0.8125520747402941,0.03494951934820864,1
0.5117648124694825,0.18316766434207143,0.03081674575805664,0.008063753784773253,10.0,auto,rbf,"{'C': 10.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.7267454709119624,0.8261987794245859,0.7943879270806279,0.7276334776334776,0.8227699530516434,0.7795471216204595,0.04415400455011444,11
0.2729461669921875,0.04395236740313556,0.009862852096557618,0.0008495908744502972,10.0,auto,linear,"{'C': 10.0, 'gamma': 'auto', 'kernel': 'linear'}",0.7971971971971971,0.8469045969045969,0.7789776100962941,0.7782592993860601,0.8614216701173224,0.8125520747402941,0.03494951934820864,1
0.5785186767578125,0.16633007794353316,0.01915884017944336,0.006693577968491127,100.0,scale,rbf,"{'C': 100.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7363435984633794,0.8261987794245859,0.7852538275584205,0.7276334776334776,0.8227699530516434,0.7796399272263014,0.04156605491564788,10
0.24316039085388183,0.024900740915366468,0.010865926742553711,0.0021730540613096924,100.0,scale,linear,"{'C': 100.0, 'gamma': 'scale', 'kernel': 'linear'}",0.7971971971971971,0.8469045969045969,0.7789776100962941,0.7782592993860601,0.8614216701173224,0.8125520747402941,0.03494951934820864,1
0.389937162399292,0.030319044226704353,0.02209944725036621,0.0031192938148594,100.0,auto,rbf,"{'C': 100.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.7363435984633794,0.8261987794245859,0.7859959734831948,0.7276334776334776,0.8227699530516434,0.7797883564112562,0.04158715642411572,9
0.29610209465026854,0.042234086518344656,0.007108926773071289,0.0017564945427742098,100.0,auto,linear,"{'C': 100.0, 'gamma': 'auto', 'kernel': 'linear'}",0.7971971971971971,0.8469045969045969,0.7789776100962941,0.7782592993860601,0.8614216701173224,0.8125520747402941,0.03494951934820864,1
